year,disaster_type,disaster_subtype,country,latitude,longitude,start_year,start_month,start_day,total_deaths,total_damages,event_name,associated_dis,dis_mag_scale,dis_mag_value
1967,Earthquake,Ground movement,Colombia,6.747,-73.032,1967,7,29,20,NA,NA,NA,Richter,7
1967,Earthquake,Ground movement,Algeria,35.5,-0.1,1967,7,13,10,NA,NA,NA,Richter,5
1969,Earthquake,Ground movement,Egypt,27.575,33.895,1969,3,31,2,NA,NA,Tsunami/Tidal wave,Richter,7
1972,Earthquake,Ground movement,Afghanistan,36.278,69.681,1972,6,24,11,NA,NA,NA,Richter,6
1974,Earthquake,NA,Colombia,7.747,-77.688,1974,7,12,11,NA,NA,NA,Richter,7
2016,Flood,NA,Ukraine,47.256,31.348,2016,10,12,3,NA,NA,Storm,Km2,19889
2016,Flood,Riverine flood,Romania,45.151,27.562,2016,10,9,1,NA,NA,NA,Km2,57183
2016,Flood,NA,Thailand,14.867,100.395,2016,10,6,4,120000,NA,NA,Km2,17187
2016,Flood,NA,Thailand,14.445,100.753,2016,12,1,14,25000,NA,NA,Km2,67395
2016,Earthquake,Ground movement,United States of America (the),35.991,-96.803,2016,11,7,NA,20000,NA,NA,Richter,5
2016,Flood,Riverine flood,Viet Nam,16.004,107.68,2016,10,9,35,104280,NA,NA,Km2,63642
2017,Flood,Riverine flood,Taiwan (Province of China),24.302,121.216,2017,5,31,5,28100,NA,"Slide (land, mud, snow, rock)",Km2,16446
2017,Flood,NA,Thailand,14.594,100.679,2017,10,10,9,1400,NA,Broken Dam/Burst bank,Km2,101670
2017,Flood,NA,Saudi Arabia,22.707,39.365,2017,11,21,4,NA,NA,NA,Km2,181055
2017,Flood,Riverine flood,Thailand,7.305,100.061,2017,1,1,96,1000000,NA,NA,Km2,50020
2017,Flood,Flash flood,United States of America (the),34.349,-111.264,2017,7,15,10,NA,NA,NA,Km2,NA
2017,Flood,NA,Viet Nam,11.664,108.399,2017,11,19,8,NA,NA,NA,Km2,27646
2017,Flood,NA,South Africa,-28.362,29.715,2017,5,14,3,NA,NA,NA,Km2,213687
2018,Flood,NA,Congo (the Democratic Republic of the),-4.355,15.116,2018,1,3,51,NA,NA,"Slide (land, mud, snow, rock)",Km2,5597
2018,Flood,NA,Rwanda,-1.784,30.012,2018,4,23,24,11000,NA,"Slide (land, mud, snow, rock)",Km2,14768
2018,Flood,NA,Russian Federation (the),52.883,84.596,2018,3,25,2,NA,NA,NA,Km2,172030
2018,Flood,Flash flood,Sudan (the),13.487,31.942,2018,8,1,23,NA,NA,NA,Km2,629242
2018,Earthquake,Ground movement,Taiwan (Province of China),24.136,121.658,2018,2,6,84,100000,NA,NA,Richter,6
2018,Flood,NA,"Tanzania, United Republic of",-11.158,34.02,2018,4,14,15,NA,NA,NA,Km2,37320
2018,Flood,Flash flood,Venezuela (Bolivarian Republic of),10.426,-66.55,2018,9,25,2,NA,NA,NA,Km2,3147
2019,Flood,NA,Romania,45.624,26.653,2019,5,31,4,NA,NA,Hail,Km2,88755
2019,Earthquake,Ground movement,El Salvador,13.243,-89.272,2019,5,30,1,NA,NA,"Slide (land, mud, snow, rock)",Richter,7
2019,Flood,Flash flood,Tajikistan,37.42,69.354,2019,6,1,4,NA,NA,"Slide (land, mud, snow, rock)",Km2,106546
2019,Flood,NA,Spain,38.05,-1.091,2019,9,11,7,2500000,NA,Storm,Km2,9115
2019,Flood,NA,Russian Federation (the),58.911,102.485,2019,6,28,31,460000,NA,NA,Km2,413323
2019,Flood,NA,Saudi Arabia,26.674,41.295,2019,1,27,12,NA,NA,NA,Km2,632316
2019,Flood,NA,Saudi Arabia,18.54,45.254,2019,5,22,1,NA,NA,NA,Km2,238157
2019,Flood,Flash flood,Turkey,40.706,41.047,2019,6,18,10,NA,NA,NA,Km2,12361
2019,Earthquake,Ground movement,United States of America (the),35.77,-117.599,2019,7,5,NA,200000,NA,NA,Richter,7
2019,Flood,Flash flood,Zimbabwe,-19.041,30.804,2019,2,11,26,NA,NA,NA,Km2,154678
2019,Earthquake,Ground movement,Albania,41.381,19.454,2019,9,21,NA,45000,NA,NA,Richter,6
2019,Earthquake,Ground movement,Albania,41.511,19.522,2019,11,26,51,700000,NA,NA,Richter,6
2019,Earthquake,Ground movement,China,29.573,105.064,2019,9,8,1,NA,NA,NA,Richter,5
2019,Earthquake,Ground movement,China,29.573,105.064,2019,9,8,1,NA,NA,NA,Richter,5
2020,Flood,NA,Brazil,-19.398,-45.901,2020,1,17,61,300000,NA,"Slide (land, mud, snow, rock)",Km2,115220
2020,Flood,Flash flood,Egypt,290.213,307.541,2020,3,11,40,76000,NA,Transport accident,Km2,22124
2020,Flood,Flash flood,Angola,-913.908,142.007,2020,4,18,30,NA,NA,NA,Km2,77632
2020,Earthquake,Ground movement,China,27.296,103.281,2020,5,18,4,17000,NA,NA,Richter,5
2020,Flood,NA,Djibouti,116.851,426.804,2020,4,20,8,NA,NA,NA,Km2,10322
2021,Earthquake,Ground movement,China,41.816,81.164,2021,3,24,3,NA,NA,NA,Richter,5
2021,Earthquake,Ground movement,China,25.761,100.011,2021,5,21,3,49000,NA,NA,Richter,6
2021,Earthquake,Ground movement,China,29.182,105.391,2021,9,16,3,NA,NA,NA,Richter,5
1909,Earthquake,Ground movement,Pakistan,30,68,1909,10,21,231,NA,NA,NA,Richter,7
1910,Earthquake,Ground movement,Taiwan (Province of China),25.5,122.5,1910,4,12,60,NA,NA,NA,Richter,8
1911,Earthquake,Ground movement,Iran (Islamic Republic of),32.23,57.03,1911,4,18,700,NA,NA,NA,Richter,7
1911,Earthquake,Ground movement,Japan,28,130,1911,6,15,12,NA,NA,NA,Richter,8
1911,Earthquake,Ground movement,Kazakhstan,43.5,77.5,1911,1,4,450,NA,NA,NA,Richter,8
1911,Earthquake,Ground movement,Mexico,17.5,-102.5,1911,6,7,45,NA,NA,NA,Richter,8
1911,Earthquake,Ground movement,Tajikistan,38.2,72.8,1911,2,18,90,NA,NA,NA,Richter,7
1913,Earthquake,Ground movement,Indonesia,5.354,126.121,1913,3,14,138,NA,NA,Tsunami/Tidal wave,Richter,8
1914,Earthquake,Ground movement,Greece,38.8,20.6,1930,11,27,14,NA,NA,Tsunami/Tidal wave,Richter,6
1914,Earthquake,Ground movement,Italy,37.7,15.2,1914,5,8,120,NA,NA,NA,Richter,5
1914,Earthquake,Ground movement,Peru,-15.2,-73.2,1914,12,2,34,NA,NA,NA,Richter,NA
1914,Earthquake,Ground movement,Turkey,37.82,30.27,1914,10,4,4000,NA,NA,NA,Richter,7
1916,Earthquake,Ground movement,Taiwan (Province of China),23.7,120.9,1916,8,28,180,NA,NA,NA,Richter,7
1916,Earthquake,Ground movement,Taiwan (Province of China),24,121,1916,11,15,1,NA,NA,NA,Richter,6
1917,Earthquake,Ground movement,Taiwan (Province of China),23.9,120.9,1917,1,5,54,NA,NA,NA,Richter,6
1920,Earthquake,Ground movement,Mexico,19.26,-96.97,1920,1,3,648,NA,NA,NA,Richter,8
1922,Earthquake,Ground movement,Taiwan (Province of China),24.5,122,1922,9,2,5,NA,NA,Tsunami/Tidal wave,Richter,8
1922,Earthquake,Ground movement,Japan,32.7,130.3,1922,12,8,27,NA,NA,NA,Richter,NA
1923,Earthquake,Ground movement,Iran (Islamic Republic of),36.617,57.046,1923,9,17,157,NA,NA,NA,Richter,6
1923,Earthquake,Ground movement,Iran (Islamic Republic of),29.196,56.833,1923,9,23,290,NA,NA,NA,Richter,7
1924,Earthquake,Ground movement,Indonesia,-7.3,109.8,1924,11,12,60,NA,NA,NA,Richter,NA
1924,Earthquake,Ground movement,Turkey,39.7,42.8,1924,5,13,50,NA,NA,NA,Richter,5
1924,Earthquake,Ground movement,Turkey,39.897,41.891,1924,9,13,60,NA,NA,NA,Richter,7
1925,Earthquake,Ground movement,Philippines (the),9.782,123.064,1925,8,7,17,NA,NA,Tsunami/Tidal wave,Richter,7
1925,Earthquake,Ground movement,Iran (Islamic Republic of),34.6,58.1,1925,12,14,500,NA,NA,NA,Richter,6
1925,Earthquake,Ground movement,Japan,35.423,135.007,1925,5,23,395,NA,NA,NA,Richter,7
1925,Earthquake,Ground movement,Turkey,41.2,42.8,1925,1,9,200,NA,NA,NA,Richter,6
1925,Earthquake,Ground movement,Turkey,38,30.5,1925,8,7,3,NA,NA,NA,Richter,6
1930,Earthquake,Ground movement,Italy,43.667,13.267,1930,10,30,18,NA,NA,NA,Richter,6
1930,Earthquake,Ground movement,Myanmar,17.4,95.5,1930,7,18,50,NA,NA,NA,Richter,NA
1930,Earthquake,Ground movement,Nicaragua,12.1,-86.2,1930,3,31,1000,15000,NA,NA,Richter,NA
